Year,MonthNum,DayNum,WeekNum,WeekDay,Fechado
2017,1,1,1,1,1
2017,1,2,1,2,0
2017,1,3,1,3,0
2017,1,4,1,4,0
2017,1,5,1,5,0
2017,1,6,1,6,0
2017,1,7,1,7,0
2017,1,8,2,1,0
2017,1,9,2,2,0
2017,1,10,2,3,0
2017,1,11,2,4,0
2017,1,12,2,5,0
2017,1,13,2,6,0
2017,1,14,2,7,0
2017,1,15,3,1,0
2017,1,16,3,2,0
2017,1,17,3,3,0
2017,1,18,3,4,0
2017,1,19,3,5,0
2017,1,20,3,6,0
2017,1,21,3,7,0
2017,1,22,4,1,0
2017,1,23,4,2,0
2017,1,24,4,3,0
2017,1,25,4,4,0
2017,1,26,4,5,0
2017,1,27,4,6,0
2017,1,28,4,7,0
2017,1,29,5,1,0
2017,1,30,5,2,0
2017,1,31,5,3,0
2017,2,1,5,4,0
2017,2,2,5,5,0
2017,2,3,5,6,0
2017,2,4,5,7,0
2017,2,5,6,1,0
2017,2,6,6,2,0
2017,2,7,6,3,0
2017,2,8,6,4,0
2017,2,9,6,5,0
2017,2,10,6,6,0
2017,2,11,6,7,0
2017,2,12,7,1,0
2017,2,13,7,2,0
2017,2,14,7,3,0
2017,2,15,7,4,0
2017,2,16,7,5,0
2017,2,17,7,6,0
2017,2,18,7,7,0
2017,2,19,8,1,0
2017,2,20,8,2,0
2017,2,21,8,3,0
2017,2,22,8,4,0
2017,2,23,8,5,0
2017,2,24,8,6,0
2017,2,25,8,7,0
2017,2,26,9,1,0
2017,2,27,9,2,0
2017,2,28,9,3,0
2017,3,1,9,4,0
2017,3,2,9,5,0
2017,3,3,9,6,0
2017,3,4,9,7,0
2017,3,5,10,1,0
2017,3,6,10,2,0
2017,3,7,10,3,0
2017,3,8,10,4,0
2017,3,9,10,5,0
2017,3,10,10,6,0
2017,3,11,10,7,0
2017,3,12,11,1,0
2017,3,13,11,2,0
2017,3,14,11,3,0
2017,3,15,11,4,0
2017,3,16,11,5,0
2017,3,17,11,6,0
2017,3,18,11,7,0
2017,3,19,12,1,0
2017,3,20,12,2,0
2017,3,21,12,3,0
2017,3,22,12,4,0
2017,3,23,12,5,0
2017,3,24,12,6,0
2017,3,25,12,7,0
2017,3,26,13,1,0
2017,3,27,13,2,0
2017,3,28,13,3,0
2017,3,29,13,4,0
2017,3,30,13,5,0
2017,3,31,13,6,0
2017,4,1,13,7,0
2017,4,2,14,1,0
2017,4,3,14,2,0
2017,4,4,14,3,0
2017,4,5,14,4,0
2017,4,6,14,5,0
2017,4,7,14,6,0
2017,4,8,14,7,0
2017,4,9,15,1,0
2017,4,10,15,2,0
2017,4,11,15,3,0
2017,4,12,15,4,0
2017,4,13,15,5,0
2017,4,14,15,6,0
2017,4,15,15,7,0
2017,4,16,16,1,0
2017,4,17,16,2,0
2017,4,18,16,3,0
2017,4,19,16,4,0
2017,4,20,16,5,0
2017,4,21,16,6,0
2017,4,22,16,7,0
2017,4,23,17,1,0
2017,4,24,17,2,0
2017,4,25,17,3,0
2017,4,26,17,4,0
2017,4,27,17,5,0
2017,4,28,17,6,0
2017,4,29,17,7,0
2017,4,30,18,1,0
2017,5,1,18,2,0
2017,5,2,18,3,0
2017,5,3,18,4,0
2017,5,4,18,5,0
2017,5,5,18,6,0
2017,5,6,18,7,0
2017,5,7,19,1,0
2017,5,8,19,2,0
2017,5,9,19,3,0
2017,5,10,19,4,0
2017,5,11,19,5,0
2017,5,12,19,6,0
2017,5,13,19,7,0
2017,5,14,20,1,0
2017,5,15,20,2,0
2017,5,16,20,3,0
2017,5,17,20,4,0
2017,5,18,20,5,0
2017,5,19,20,6,0
2017,5,20,20,7,0
2017,5,21,21,1,0
2017,5,22,21,2,0
2017,5,23,21,3,0
2017,5,24,21,4,0
2017,5,25,21,5,0
2017,5,26,21,6,0
2017,5,27,21,7,0
2017,5,28,22,1,0
2017,5,29,22,2,0
2017,5,30,22,3,0
2017,5,31,22,4,0
2017,6,1,22,5,0
2017,6,2,22,6,0
2017,6,3,22,7,0
2017,6,4,23,1,0
2017,6,5,23,2,0
2017,6,6,23,3,0
2017,6,7,23,4,0
2017,6,8,23,5,0
2017,6,9,23,6,0
2017,6,10,23,7,0
2017,6,11,24,1,0
2017,6,12,24,2,0
2017,6,13,24,3,0
2017,6,14,24,4,0
2017,6,15,24,5,0
2017,6,16,24,6,0
2017,6,17,24,7,0
2017,6,18,25,1,0
2017,6,19,25,2,0
2017,6,20,25,3,0
2017,6,21,25,4,0
2017,6,22,25,5,0
2017,6,23,25,6,0
2017,6,24,25,7,0
2017,6,25,26,1,0
2017,6,26,26,2,0
2017,6,27,26,3,0
2017,6,28,26,4,0
2017,6,29,26,5,0
2017,6,30,26,6,0
2017,7,1,26,7,0
2017,7,2,27,1,0
2017,7,3,27,2,0
2017,7,4,27,3,0
2017,7,5,27,4,0
2017,7,6,27,5,0
2017,7,7,27,6,0
2017,7,8,27,7,0
2017,7,9,28,1,0
2017,7,10,28,2,0
2017,7,11,28,3,0
2017,7,12,28,4,0
2017,7,13,28,5,0
2017,7,14,28,6,0
2017,7,15,28,7,0
2017,7,16,29,1,0
2017,7,17,29,2,0
2017,7,18,29,3,0
2017,7,19,29,4,0
2017,7,20,29,5,0
2017,7,21,29,6,0
2017,7,22,29,7,0
2017,7,23,30,1,0
2017,7,24,30,2,0
2017,7,25,30,3,0
2017,7,26,30,4,0
2017,7,27,30,5,0
2017,7,28,30,6,0
2017,7,29,30,7,0
2017,7,30,31,1,0
2017,7,31,31,2,0
2017,8,1,31,3,0
2017,8,2,31,4,0
2017,8,3,31,5,0
2017,8,4,31,6,0
2017,8,5,31,7,0
2017,8,6,32,1,0
2017,8,7,32,2,0
2017,8,8,32,3,0
2017,8,9,32,4,0
2017,8,10,32,5,0
2017,8,11,32,6,0
2017,8,12,32,7,0
2017,8,13,33,1,0
2017,8,14,33,2,0
2017,8,15,33,3,0
2017,8,16,33,4,0
2017,8,17,33,5,0
2017,8,18,33,6,0
2017,8,19,33,7,0
2017,8,20,34,1,0
2017,8,21,34,2,0
2017,8,22,34,3,0
2017,8,23,34,4,0
2017,8,24,34,5,0
2017,8,25,34,6,0
2017,8,26,34,7,0
2017,8,27,35,1,0
2017,8,28,35,2,0
2017,8,29,35,3,0
2017,8,30,35,4,0
2017,8,31,35,5,0
2017,9,1,35,6,0
2017,9,2,35,7,0
2017,9,3,36,1,0
2017,9,4,36,2,0
2017,9,5,36,3,0
2017,9,6,36,4,0
2017,9,7,36,5,0
2017,9,8,36,6,0
2017,9,9,36,7,0
2017,9,10,37,1,0
2017,9,11,37,2,0
2017,9,12,37,3,0
2017,9,13,37,4,0
2017,9,14,37,5,0
2017,9,15,37,6,0
2017,9,16,37,7,0
2017,9,17,38,1,0
2017,9,18,38,2,0
2017,9,19,38,3,0
2017,9,20,38,4,0
2017,9,21,38,5,0
2017,9,22,38,6,0
2017,9,23,38,7,0
2017,9,24,39,1,0
2017,9,25,39,2,0
2017,9,26,39,3,0
2017,9,27,39,4,0
2017,9,28,39,5,0
2017,9,29,39,6,0
2017,9,30,39,7,0
2017,10,1,40,1,0
2017,10,2,40,2,0
2017,10,3,40,3,0
2017,10,4,40,4,0
2017,10,5,40,5,0
2017,10,6,40,6,0
2017,10,7,40,7,0
2017,10,8,41,1,0
2017,10,9,41,2,0
2017,10,10,41,3,0
2017,10,11,41,4,0
2017,10,12,41,5,0
2017,10,13,41,6,0
2017,10,14,41,7,0
2017,10,15,42,1,0
2017,10,16,42,2,0
2017,10,17,42,3,0
2017,10,18,42,4,0
2017,10,19,42,5,0
2017,10,20,42,6,0
2017,10,21,42,7,0
2017,10,22,43,1,0
2017,10,23,43,2,0
2017,10,24,43,3,0
2017,10,25,43,4,0
2017,10,26,43,5,0
2017,10,27,43,6,0
2017,10,28,43,7,0
2017,10,29,44,1,0
2017,10,30,44,2,0
2017,10,31,44,3,0
2017,11,1,44,4,0
2017,11,2,44,5,0
2017,11,3,44,6,0
2017,11,4,44,7,0
2017,11,5,45,1,0
2017,11,6,45,2,0
2017,11,7,45,3,0
2017,11,8,45,4,0
2017,11,9,45,5,0
2017,11,10,45,6,0
2017,11,11,45,7,0
2017,11,12,46,1,0
2017,11,13,46,2,0
2017,11,14,46,3,0
2017,11,15,46,4,0
2017,11,16,46,5,0
2017,11,17,46,6,0
2017,11,18,46,7,0
2017,11,19,47,1,0
2017,11,20,47,2,0
2017,11,21,47,3,0
2017,11,22,47,4,0
2017,11,23,47,5,0
2017,11,24,47,6,0
2017,11,25,47,7,0
2017,11,26,48,1,0
2017,11,27,48,2,0
2017,11,28,48,3,0
2017,11,29,48,4,0
2017,11,30,48,5,0
2017,12,1,48,6,0
2017,12,2,48,7,0
2017,12,3,49,1,0
2017,12,4,49,2,0
2017,12,5,49,3,0
2017,12,6,49,4,0
2017,12,7,49,5,0
2017,12,8,49,6,0
2017,12,9,49,7,0
2017,12,10,50,1,0
2017,12,11,50,2,0
2017,12,12,50,3,0
2017,12,13,50,4,0
2017,12,14,50,5,0
2017,12,15,50,6,0
2017,12,16,50,7,0
2017,12,17,51,1,0
2017,12,18,51,2,0
2017,12,19,51,3,0
2017,12,20,51,4,0
